battleTime,event_id,event_mode,event_map,battle_mode,battle_type,battle_rank,battle_trophyChange,battle_result,battle_duration,battle_starPlayer_tag,battle_starPlayer_name,battle_starPlayer_brawler_id,battle_starPlayer_brawler_name,battle_starPlayer_brawler_power,battle_starPlayer_brawler_trophies,player_tag,brawler_id_used
20240530T110109.000Z,15000036,duoShowdown,Rockwall Brawl,duoShowdown,ranked,2.0,12.0,,,,,,,,,#RPGJRPLP,16000020.0
20240530T105841.000Z,15000036,duoShowdown,Rockwall Brawl,duoShowdown,ranked,1.0,13.0,,,,,,,,,#RPGJRPLP,16000020.0
20240530T105532.000Z,15000036,duoShowdown,Rockwall Brawl,duoShowdown,ranked,1.0,12.0,,,,,,,,,#RPGJRPLP,16000020.0
20240530T105459.000Z,15000036,duoShowdown,Rockwall Brawl,duoShowdown,ranked,3.0,4.0,,,,,,,,,#RPGJRPLP,16000020.0
20240530T105227.000Z,15000036,duoShowdown,Rockwall Brawl,duoShowdown,ranked,2.0,9.0,,,,,,,,,#RPGJRPLP,16000020.0
20240530T104802.000Z,15000036,duoShowdown,Rockwall Brawl,duoShowdown,ranked,2.0,8.0,,,,,,,,,#RPGJRPLP,16000020.0
20240530T104512.000Z,15000036,duoShowdown,Rockwall Brawl,duoShowdown,ranked,5.0,-2.0,,,,,,,,,#RPGJRPLP,16000009.0
20240530T104512.000Z,15000036,duoShowdown,Rockwall Brawl,duoShowdown,ranked,1.0,9.0,,,,,,,,,#RPGJRPLP,16000020.0
20240529T155832.000Z,15000102,duoShowdown,Dark Passage,duoShowdown,ranked,2.0,12.0,,,,,,,,,#RPGJRPLP,16000009.0
20240529T155603.000Z,15000102,duoShowdown,Dark Passage,duoShowdown,ranked,1.0,14.0,,,,,,,,,#RPGJRPLP,16000009.0
20240529T155304.000Z,15000102,duoShowdown,Dark Passage,duoShowdown,ranked,1.0,13.0,,,,,,,,,#RPGJRPLP,16000009.0
20240529T154923.000Z,15000102,duoShowdown,Dark Passage,duoShowdown,ranked,3.0,3.0,,,,,,,,,#RPGJRPLP,16000009.0
20240529T154602.000Z,15000102,duoShowdown,Dark Passage,duoShowdown,ranked,3.0,3.0,,,,,,,,,#RPGJRPLP,16000009.0
20240529T154207.000Z,15000102,duoShowdown,Dark Passage,duoShowdown,ranked,2.0,10.0,,,,,,,,,#RPGJRPLP,16000009.0
20250412T034020.000Z,15000912,unknown,Reverse Crossing,trophyThieves,ranked,,8.0,victory,72.0,#GV0VYGP0,Lexiphea,16000063.0,CHESTER,11.0,879.0,#GV0VYGP0,16000063.0
20250412T033841.000Z,15000912,unknown,Reverse Crossing,trophyThieves,ranked,,-6.0,defeat,150.0,#GV0VYGP0,Lexiphea,16000063.0,CHESTER,11.0,885.0,#GV0VYGP0,16000063.0
20250412T033531.000Z,15000144,brawlBall,Sunny Soccer,brawlBall,ranked,,8.0,victory,34.0,#RPJLRGY80,鬥士,16000020.0,FRANK,10.0,903.0,#GV0VYGP0,16000063.0
20250412T033417.000Z,15000144,brawlBall,Sunny Soccer,brawlBall,ranked,,-6.0,defeat,42.0,#9YR9GRGRV,♡品,16000078.0,MELODIE,11.0,706.0,#GV0VYGP0,16000063.0
20250412T033305.000Z,15000144,brawlBall,Sunny Soccer,brawlBall,ranked,,-6.0,defeat,155.0,#GV0VYGP0,Lexiphea,16000063.0,CHESTER,11.0,889.0,#GV0VYGP0,16000063.0
20250412T032957.000Z,15000144,brawlBall,Sunny Soccer,brawlBall,ranked,,13.0,victory,109.0,#GV0VYGP0,Lexiphea,16000063.0,CHESTER,11.0,876.0,#GV0VYGP0,16000063.0
20250412T032648.000Z,15000932,gemGrab,Local Restaurants,gemGrab,ranked,,13.0,victory,79.0,#2R90Q9Y0CV,P X M,16000000.0,SHELLY,11.0,859.0,#GV0VYGP0,16000063.0
20250412T032450.000Z,15000932,gemGrab,Local Restaurants,gemGrab,ranked,,13.0,victory,85.0,#GV0VYGP0,Lexiphea,16000063.0,CHESTER,11.0,850.0,#GV0VYGP0,16000063.0
20250412T032238.000Z,15000144,brawlBall,Sunny Soccer,brawlBall,ranked,,-3.0,defeat,108.0,#RL999V2L,Crimson>.<|수퍼프로,16000023.0,LEON,11.0,590.0,#GV0VYGP0,16000090.0
20250412T032023.000Z,15000144,brawlBall,Sunny Soccer,brawlBall,ranked,,-3.0,defeat,72.0,#289QPRPR,Rex_彭哈伯男爵,16000010.0,EL PRIMO,11.0,607.0,#GV0VYGP0,16000090.0
20250412T031833.000Z,15000144,brawlBall,Sunny Soccer,brawlBall,ranked,,-3.0,defeat,151.0,#P2GRU2JRC,kt7,16000020.0,FRANK,11.0,530.0,#GV0VYGP0,16000090.0
20250412T031519.000Z,15000144,brawlBall,Sunny Soccer,brawlBall,ranked,,9.0,victory,142.0,#GV0VYGP0,Lexiphea,16000090.0,OLLIE,11.0,571.0,#GV0VYGP0,16000090.0
20250412T031023.000Z,15000144,brawlBall,Sunny Soccer,brawlBall,ranked,,8.0,victory,87.0,#GV0VYGP0,Lexiphea,16000090.0,OLLIE,11.0,563.0,#GV0VYGP0,16000090.0
20250412T030826.000Z,15000144,brawlBall,Sunny Soccer,brawlBall,ranked,,-3.0,defeat,44.0,#GJRVCQJ2,Blaukluger,16000034.0,JACKY,10.0,573.0,#GV0VYGP0,16000090.0
20250412T030318.000Z,15000144,brawlBall,Sunny Soccer,brawlBall,ranked,,11.0,victory,68.0,#GV0VYGP0,Lexiphea,16000090.0,OLLIE,11.0,555.0,#GV0VYGP0,16000090.0
20250411T055833.000Z,15000931,gemGrab,Lilygear Lake,gemGrab,ranked,,12.0,victory,87.0,#LRC2YYV2V,yaypose,16000038.0,SURGE,9.0,387.0,#GV0VYGP0,16000087.0
20250411T050251.000Z,15000931,gemGrab,Lilygear Lake,gemGrab,ranked,,11.0,victory,79.0,#G9LU98JPR,브롤민준,16000029.0,BEA,7.0,281.0,#GV0VYGP0,16000087.0
20250410T162949.000Z,15000909,unknown,Wild Greens,trophyThieves,ranked,,13.0,victory,60.0,#PRRUCYUY9,MPK|POKPONG,16000085.0,KENJI,11.0,852.0,#GV0VYGP0,16000063.0
20250410T162815.000Z,15000909,unknown,Wild Greens,trophyThieves,ranked,,15.0,victory,111.0,#GV0VYGP0,Lexiphea,16000063.0,CHESTER,11.0,822.0,#GV0VYGP0,16000063.0
20250410T162554.000Z,15000909,unknown,Wild Greens,trophyThieves,ranked,,8.0,victory,59.0,#8UV8R0Q89,Lester,16000086.0,SHADE,11.0,918.0,#GV0VYGP0,16000031.0
20250410T162424.000Z,15000909,unknown,Wild Greens,trophyThieves,ranked,,-6.0,defeat,80.0,#GV0VYGP0,Lexiphea,16000031.0,MR. P,11.0,892.0,#GV0VYGP0,16000031.0
20250410T055030.000Z,15000636,gemGrab,Last Stop,gemGrab,ranked,,8.0,victory,104.0,#GV0VYGP0,Lexiphea,16000068.0,MAISIE,11.0,589.0,#GV0VYGP0,16000068.0
